Name,Published,Updated
CVE-2013-2143,2014-04-17,2014-04-17
CVE-2013-2121,2013-07-31,
CVE-2013-2113,2013-07-31,
CVE-2013-2068,2013-09-28,2014-01-10
CVE-2013-2050,2014-01-10,2017-08-28
CVE-2013-2049,2018-05-01,2018-05-01
CVE-2012-0815,2012-06-04,2018-01-17
CVE-2012-0061,2012-06-04,2018-01-17
CVE-2012-0060,2012-06-04,2018-01-17
CVE-2010-0415,2010-02-17,2018-10-10
CVE-2009-2727,2009-08-10,
CVE-2009-2407,2009-07-31,2018-10-10
CVE-2009-2406,2009-07-31,2018-10-10
CVE-2008-4556,2008-10-14,2018-10-11
CVE-2007-5246,2007-10-06,2018-10-15
CVE-2007-5245,2007-10-06,2018-10-15
CVE-2007-5244,2007-10-06,2017-07-28
CVE-2007-5243,2007-10-06,2017-07-28
CVE-2007-4684,2007-11-14,2018-10-15
CVE-2007-0430,2007-01-22,2018-10-16
CVE-2006-4655,2006-09-08,2018-10-17
CVE-2006-4178,2006-09-25,2018-10-17
CVE-2006-4172,2006-09-25,2018-10-17
